Number	Name	aveElec			totalElec		Cost
101		王伟		219.08		2629.00		1284.00
102		李娜		204.92		2459.00		1200.98
103		张强		251.50		3018.00		1480.88
104		刘芳		220.25		2643.00		1290.84
105		陈杰		262.75		3153.00		1553.55
106		杨敏		213.42		2561.00		1250.79
107		赵刚		243.00		2916.00		1425.97
108		周婷		193.17		2318.00		1132.11
109		徐磊		267.33		3208.00		1583.15
110		孙莉		214.75		2577.00		1258.61
111		何军		282.50		3390.00		1681.12
112		黄芳		235.17		2822.00		1378.26
113		马强		252.67		3032.00		1488.41
114		郭娜		201.92		2423.00		1183.39
115		罗斌		291.92		3503.00		1741.95
116		唐欣		241.75		2901.00		1417.90
117		高磊		209.83		2518.00		1229.79
118		林娜		259.25		3111.00		1530.94
119		蔡伟		231.33		2776.00		1355.80
120		邓杰		249.33		2992.00		1466.88
201		吴明		222.08		2665.00		1301.59
202		郑晓琳		207.08		2485.00		1213.67
203		冯涛		259.42		3113.00		1532.02
204		程雪		214.92		2579.00		1259.58
205		谢俊杰		279.58		3355.00		1662.28
206		丁小慧		197.83		2374.00		1159.46
207		方磊		244.67		2936.00		1436.74
208		崔雅婷		196.00		2352.00		1148.72
209		彭志勇		268.50		3222.00		1590.69
210		袁丽华		216.17		2594.00		1266.91
211		卢浩		290.42		3485.00		1732.26
212		潘雨欣		233.42		2801.00		1368.01
213		钟建国		251.50		3018.00		1480.88
214		叶婉如		195.25		2343.00		1144.32
215		宋振宇		279.08		3349.00		1659.05
216		董晓娟		211.33		2536.00		1238.58
217		杜志强		242.00		2904.00		1419.51
218		付美玲		202.50		2430.00		1186.81
219		韩磊		262.50		3150.00		1551.93
220		白晓燕		225.17		2702.00		1319.66
301		苏晨		231.67		2780.00		1357.75
302		顾婉清		204.58		2455.00		1199.02
303		贺子轩		267.33		3208.00		1583.15
304		陆雨菲		218.50		2622.00		1280.58
305		秦昊		281.50		3378.00		1674.67
306		沈梦瑶		196.42		2357.00		1151.16
307		林浩然		245.83		2950.00		1444.27
308		唐静怡		192.33		2308.00		1127.23
309		周子涵		266.33		3196.00		1576.69
310		罗俊杰		223.67		2684.00		1310.87
311		许文博		291.58		3499.00		1739.80
312		夏雨晴		239.83		2878.00		1405.62
313		程宇轩		256.17		3074.00		1511.02
314		袁雪梅		208.92		2507.00		1224.42
315		傅明哲		300.83		3610.00		1799.55
316		丁晓彤		202.08		2425.00		1184.37
317		姜宇航		227.83		2734.00		1335.29
318		石佳琪		215.00		2580.00		1260.07
319		邱文彬		272.92		3275.00		1619.22
320		尹若琳		229.00		2748.00		1342.12
401		吕伟		230.50		2766.00		1350.91
402		范娜		205.75		2469.00		1205.86
403		郝强		258.58		3103.00		1526.63
404		段雪		219.42		2633.00		1285.96
405		季杰		275.33		3304.00		1634.83
406		武敏		198.17		2378.00		1161.42
407		汤刚		236.92		2843.00		1388.52
408		谷婷		188.58		2263.00		1105.25
409		梅磊		266.00		3192.00		1574.54
410		盛莉		217.92		2615.00		1277.17
411		管军		286.08		3433.00		1704.27
412		安芳		238.33		2860.00		1396.82
413		常强		251.58		3019.00		1481.42
414		牛娜		197.50		2370.00		1157.51
415		柯斌		292.33		3508.00		1744.64
416		蓝欣		210.92		2531.00		1236.14
417		景磊		244.75		2937.00		1437.28
418		薄伟		204.17		2450.00		1196.58
419		简杰		265.08		3181.00		1568.62
420		房燕		227.08		2725.00		1330.89
501		慕容雪		237.33		2848.00		1390.96
502		司徒浩		210.50		2526.00		1233.70
503		尉迟琳		264.08		3169.00		1562.16
504		端木磊		222.58		2671.00		1304.52
505		公孙子轩		280.83		3370.00		1670.36
506		澹台敏		201.25		2415.00		1179.49
507		皇甫涛		244.83		2938.00		1437.81
508		闾丘慧		192.58		2311.00		1128.69
509		长孙杰		270.00		3240.00		1600.38
510		宇文芳		221.00		2652.00		1295.24
511		呼延彬		291.67		3500.00		1740.34
512		令狐娜		237.67		2852.00		1392.92
513		钟离刚		252.42		3029.00		1486.80
514		拓跋婷		205.58		2467.00		1204.88
515		申屠宇		300.58		3607.00		1797.94
516		东郭慧		215.58		2587.00		1263.49
517		司空磊		261.00		3132.00		1542.24
518		羊舌欣		219.83		2638.00		1288.40
519		仲孙杰		281.58		3379.00		1675.20
520		乐正燕		231.75		2781.00		1358.24
